"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Arcane Signet","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","257","False","False",""
"1","1","Army of the Damned","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","68","False","False",""
"1","1","Bladestitched Skaab","mid","Near Mint","English","","","2023-06-28 16:50:16.037000","212","False","False",""
"1","1","Cemetery Reaper","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","70","False","False",""
"1","1","Champion of the Perished","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","71","False","False",""
"1","1","Choked Estuary","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","293","False","False",""
"1","1","Command Tower","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","297","False","False",""
"1","1","Commander's Sphere","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","261","False","False",""
"1","1","Corpse Augur","clb","Near Mint","English","","","2023-06-28 16:50:16.037000","744","False","False",""
"1","1","Corpse Connoisseur","mm3","Near Mint","English","","","2023-06-28 16:50:16.037000","61","False","False",""
"1","1","Crippling Fear","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","72","False","False",""
"1","1","Crow of Dark Tidings","cmr","Near Mint","English","","","2023-06-28 16:50:16.037000","115","False","False",""
"1","1","Cruel Revival","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","73","False","False",""
"1","1","Curse of Disturbance","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","74","False","False",""
"1","1","Deep Analysis","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","46","False","False",""
"1","1","Dimir Signet","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","263","False","False",""
"1","1","Diregraf Captain","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","224","False","False",""
"1","1","Dismal Backwater","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","298","False","False",""
"1","1","Distant Melody","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","48","False","False",""
"1","1","Enter the God-Eternals","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","227","False","False",""
"1","1","Eternal Skylord","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","49","False","False",""
"1","1","Feed the Swarm","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","77","False","False",""
"1","1","Fleshbag Marauder","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","78","False","False",""
"1","1","Forgotten Creation","clb","Near Mint","English","","","2023-06-28 16:50:16.037000","721","False","False",""
"1","1","Geralf's Mindcrusher","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","53","False","False",""
"1","1","Gisa and Geralf","scd","Near Mint","English","etched","","2023-06-28 16:50:16.037000","3","False","False",""
"1","1","Gleaming Overseer","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","229","False","False",""
"1","1","Gravespawn Sovereign","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","79","False","False",""
"1","1","Gray Merchant of Asphodel","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","80","False","False",""
"1","1","Grimoire of the Dead","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","265","False","False",""
"1","1","Havengul Lich","scd","Near Mint","English","","","2023-06-28 16:50:16.037000","231","False","False",""
